Sample	G101	G102	G103	G104	G105	G108	G109	G110	G111	G112	G113	G114	G115	G116	G117	G118	G119	G120	G123	G126	G130	G132	G133	G134	G135	G136	G137	G138	G139	G140	G142	G143	G144	G301	G303	G304	G305	G306	G307	G308	G309	G310	G311	G312	G313	G314	G315	G317	G318	G319	G320	G322	G323	G324	G325	G327	G328	G332	G334	G335	G336	G337	G338	G340	G341	G342	G345	G347	G350	G352	G354	G357	G359	G360	G361	G362	G363	G365	G366	G367	G368	G370	G372	G373	G374	G375	G376	G379	G381	G382	G383	G384	G385	G387	G389	G390	G391	G392	G393	G394	G396	G397
BENZOIC ACID-TMS   1	956	-1780	-24	-1028	-10157	3919	-3595	3417	1752	-3005	-1093	-4548	-840	381	395	-830	-706	-121	304	-1413	-364	-894	-2240	2460	-1626	-1895	-696	215	-2768	-437	-2462	-1081	-640	-470	323	438	4303	655	426	-644	203	136	2047	-418	1131	1741	76	1544	-882	243	450	-649	-190	397	-125	-2391	1180	2637	-2598	-400	-749	2012	-1318	1669	4117	-360	4581	-1392	487	-2968	1162	6346	878	666	-493	35	904	-1629	-1642	18	2877	2011	2405	-374	3037	-505	-1076	838	-2836	1036	-2143	-2864	-391	-6138	509	281	-1774	-1240	-186	-909	-2737	-662
"BETA-ALANINE, N,N,O-TMS   1  M/z304"	-515	-146	996	94	128	558	519	-301	145	0	171	1	-280	289	347	50	-279	-514	-376	101	-2	96	146	-40	409	-78	-553	328	123	13	689	137	211	302	0	0	217	-33	-392	172	68	-438	360	138	546	896	51	-451	162	481	-96	190	-48	-47	-70	231	-425	318	408	182	-83	19	-96	193	-35	77	-199	-55	154	1693	228	34	7	137	276	103	-458	90	437	-102	204	-253	-312	-143	129	-64	3	397	-240	-33	137	-280	47	170	-551	-26	274	275	453	-183	125	-398
"BETA-ALANINE,N,O-TMS   1  M/z218"	-696	354	2799	159	-162	247	389	-67	1641	639	97	443	126	510	49	-401	-74	-362	245	-671	168	2	-8	1325	3132	-199	674	-241	-176	-1808	31	-144	-18	2971	-358	22	-46	319	264	88	-67	-1	1494	-706	104	2787	559	205	90	-434	-423	723	-14	197	75	2706	6	2660	-325	-11	-428	386	-459	70	1643	466	604	427	156	650	-139	847	-7	326	1953	219	-396	312	423	73	-47	-46	47	214	-109	32	-403	-122	80	-142	124	323	-50	-72	540	-429	-209	54	1301	339	-69	-305
CELLOBIOSE-MEOX 8TMS_2   1  M/z361	487	-1701	-352	-1576	-433	-470	-1460	-2164	-2607	-1582	703	2797	-171	-957	-843	-947	-158	406	924	818	-604	-399	486	589	501	731	-46	-162	-777	-4637	-553	304	-1450	-219	1171	-1213	-698	831	4131	1459	716	-579	-2205	-10	410	-653	-9	-205	87	716	925	-1798	517	703	-726	615	-1678	-36	-975	-752	-454	103	739	-878	224	840	-1641	359	-569	-98	39	-559	-131	-1092	186	-2573	54	215	2911	-1070	-1028	-741	254	-82	-1167	251	-1173	-173	-783	-810	738	353	1707	-316	-396	-176	-139	391	1380	-255	-427	874
CHOLESTEROL-TMS   1  M/z247	-10307	10487	12297	16381	-20543	-11530	-16217	-9352	-18726	-5363	6052	1797	-4066	-22596	-19456	-11532	1491	-23563	746	-29667	-15435	6844	-2515	6343	-12287	-10770	-22875	-1287	1068	3125	-10216	-3830	-1226	7027	4950	-10622	-25542	-1639	-22636	15800	884	10207	-6666	-12987	-20496	8573	16617	-937	-12747	-20843	9250	-3852	2283	-35255	1565	1608	8937	-14480	4290	-2802	722	5055	-17268	4483	1890	-8937	1812	-5072	5618	-47032	-9857	200	-1056	-4002	-8814	-17391	2642	-13469	-6020	2709	-10169	-2686	-5619	-8608	-4959	-1126	-5414	-11	-4769	-12342	-14919	-5507	-5240	-8775	-323	-1743	-1502	-1564	-7466	-1881	2540	-17899
CITRIC ACID-4TMS   1  M/z465	657	707	2083	-1022	-3486	504	-1044	-5079	-638	-984	-428	7135	-2786	1659	-5455	358	-1517	464	-4496	-375	-1000	-699	2739	-5579	-891	3643	-916	-69	-2021	-266	-181	-2313	-1051	-2005	1521	356	3581	-3567	-825	2007	849	-339	768	2241	-2756	-213	1618	-41	1038	6638	-2574	-2451	-3853	-196	-4403	3413	1564	3246	-1135	-1045	-616	1498	103	-1389	1554	-2150	1441	-488	1314	-2144	-3416	2079	-3514	-3844	2199	-1372	1407	-546	-84	-652	751	70	-1737	-156	-1400	-791	-3590	-1056	-1325	-2641	1335	-454	12	1850	-2157	5023	3149	-4316	1106	1086	267	-3231
CITRULLINE-3TMS_1 (Ornthine)   1	36105	-8366	-11978	42634	-50403	24368	18618	10195	123619	-18234	21685	25444	-29235	17852	19908	44618	-11166	38820	13445	16063	15906	29931	80180	22653	447204	-14963	-21130	37044	-263910	-93495	6745	69186	27950	127314	7140	-6389	-38820	-31552	13570	-24990	19989	39838	39032	-4019	21112	89497	30937	39747	-7482	-13064	-11343	-16332	96359	24929	23732	78995	-89641	-37875	-32663	13089	27767	24176	-5232	5028	12695	45447	24949	28806	16954	86335	6739	8988	12505	34826	50501	1681	-14436	2720	5195	-41310	-34149	65506	-9409	44273	9328	19938	75619	46039	-225069	9381	-10967	7296	-40043	19179	-2027	14541	15686	1600	27667	-15533	89222	-22598
CREATININE-3TMS   1  M/z329	-2303	1810	358	443	429	1400	1773	-3740	3067	2011	-656	-2316	-1063	4194	-4582	-2170	40	1465	-2519	-6586	1466	-1293	-1282	3117	10543	-2585	-3895	-7594	-6655	-17344	5288	-3348	228	2291	1132	-3899	-508	4631	7241	2866	6403	-1556	594	-5748	8120	9277	2385	-2860	-3294	4661	-7735	1823	5056	1312	2474	17	-4797	2733	-6388	-3874	5040	1733	-251	-199	13278	1511	9185	4636	1219	7749	-856	3286	4051	-1871	-893	213	1823	3132	-3225	1123	6279	941	1346	3075	-783	-1725	-3290	5596	-5074	-677	-1783	1493	2492	-4104	-7897	119	285	-264	4208	-3467	3163	-56
"CYSTEINE,N,O,S-TMS   1  M/z218"	-4122	-3185	-2297	1469	-22241	-1238	9957	-2225	18286	-954	-1442	-420	-4498	-6953	-6949	6217	-2597	5525	-5005	8008	-8188	-6920	10601	10594	16532	3600	-7302	-7281	-26384	-10372	14321	4104	-433	3295	1357	-3484	4915	-5158	2017	-7108	12432	2206	6390	-20	-765	12659	-4569	-1431	-693	-1727	-2840	-6008	-2905	239	7799	-1173	-10649	-6417	-17780	3448	-1114	2913	6274	-1284	10636	2918	14873	1317	-2993	-8905	2688	12527	-3361	5436	27043	-1955	2912	-3103	-9251	-1956	10045	7752	15470	-1330	-16482	1025	-2778	16569	-20192	-4158	-21193	1211	5411	-4754	-6972	2015	393	-12602	-1646	6321	3300	858
"CYSTINE,N,N,O,O-TMS   1  M/z297"	-271	1247	-816	524	-2658	-3	-236	461	659	-254	-130	433	-674	-475	-3	540	-859	273	1230	1230	-767	-451	-20	1181	1517	-468	-1679	275	-871	-1189	-212	433	349	649	121	27	-438	278	-189	979	545	70	420	-489	-742	-1314	-152	761	96	-366	543	-481	-922	595	282	23	-469	-686	-53	-478	355	-91	-442	489	-505	697	-174	115	601	-346	-896	-383	-115	320	-604	-74	555	-199	-1165	595	565	660	203	502	152	-502	429	441	-1016	-87	-324	236	539	-476	194	406	372	1440	-268	307	-208	-425
DODECANOIC  ACID-TMS   1  M/z257	3701	5342	-381	-922	-2562	450	-378	-2394	-7076	-814	-1652	659	2216	-304	164	-852	231	-986	2878	-1329	-79	3209	4636	4989	-96	-2534	-1258	-20	7693	4359	1267	415	281	-1081	-548	-2256	2371	-1451	4	-67	1327	-667	436	3143	-1997	-3833	217	10472	-2699	1156	-1397	-101	1204	1149	285	-1066	4028	615	-2332	2581	-1629	-1156	-3166	-321	-950	-976	1879	-1401	-1896	-1038	3158	-122	-919	-10755	9210	-2346	1504	207	-2309	-1737	-588	-132	-949	671	878	-1306	-1397	1909	28553	-2126	1133	-780	305	-628	5283	-432	8125	11060	-377	482	-7240	-648
ERYTHRITOL-4TMS   1  M/z277	76	381	-549	437	-279	-350	226	-388	-252	50	193	-532	301	-62	-1	-21	-262	263	162	-515	-68	223	51	41	421	61	254	-140	-56	246	91	-223	-1618	194	107	248	154	190	-315	288	-117	398	86	43	-337	33	-93	-206	-741	375	-260	-69	260	-303	-14	-341	248	-223	-221	607	-588	-224	68	44	134	49	51	127	144	-122	-245	-65	8	60	-34	-8	-1685	-320	-803	-12	-172	198	103	296	-33	-371	-208	27	135	-443	55	225	-199	561	11	-77	-27	-93	-12870	-208	258	18
FRUCTOSE-MEOX 5TMS_1   1  M/z366	-31	444	107	104	205	177	4102	-33	-123	748	-2823	296	-423	205	-4140	2183	199	-4916	-2878	-483	423	-2649	-192	-4428	-32	-1038	9997	335	-798	171	-535	-201	2063	-1031	414	477	110	-31	272	87	129	1107	-711	224	-4588	-296	632	-1569	1766	983	2300	-113	457	-378	-3182	123	480	-440	3326	3453	192	-852	1633	-1359	-993	196	-303	135	421	-69	646	2052	99	413	-110	246	393	-75	-236	2771	188	-94	-3767	516	-2299	-268	31	385	161	-1097	-72	2410	174	-53	276	1294	329	-40	2168	3114	1251	-932
FUMARIC ACID-2TMS   1  M/z246	923	519	496	-16	-167	-636	14	-472	-385	-817	94	1246	84	198	236	1296	59	593	503	-626	-226	-150	615	145	-1071	-296	496	203	-760	1307	-515	105	-275	-469	-16	384	9	-1434	-884	-1361	-853	467	231	813	-865	-1305	-21	1112	1059	-82	1065	-942	-1143	131	-761	-163	343	-597	1006	300	-1344	5	-188	-509	-911	309	387	-827	-330	-840	183	255	-652	-463	284	312	-184	-738	978	-2140	-647	436	-73	-427	59	233	862	40	-191	569	210	-79	-1128	-82	-270	253	-23	-260	265	1372	165	-384
GALACTURONIC ACID-MEOX 5TMS_2   1  M/z334	105	-176	-432	-27	-268	459	406	464	133	146	-642	399	216	-885	-1098	-415	-222	-1141	662	-1420	243	-584	-40	90	-245	1660	218	111	-778	-403	-21	-444	612	-52	317	702	683	-58	147	-396	-110	191	112	78	-170	1	333	1100	354	-756	383	-165	68	-519	266	117	99	-627	-191	175	-155	-17	-438	-47	-494	1217	-401	-17	-1	53	-96	2	110	183	533	-228	-1044	681	-934	-297	202	242	-266	903	-372	-379	-88	-82	577	-70	-112	1	-6	485	-98.9	53	-98	-119	344	88	-280	-482
GAMMA-TOCOPHEROL-TMS   1	-1739	2811	-353	-8887	1469	-1752	4636	2369	-2411	325	-347	6010	-4763	415	-487	782	-534	2379	410	-2763	781	-938	-1559	2168	-336	-5694	268	-391	542	1970	969	-2012	-1062	411	-1393	-1343	4916	-1637	-379	4487	1130	33	670	-552	-1170	-993	-450	-1924	-1629	-1591	399	79	-400	-1889	-2044	-1296	662	-225	-538	1563	-1172	2508	186	-1239	52	-1767	-1978	-4	-2048	-1622	14	-2217	-514	2341	672	-3633	1171	-863	-950	-2996	170	1324	294	-938	84	262	1164	-809	1217	-236	1886	508	143	-1363	-129	373	-475	-1359	2066	2074	-1446	-1918
GLUCURONIC ACID-MEOX 5TMS_2   1  M/z334	111	-182	-431	-30	-265	461	406	459	148	148	-642	383	218	-899	-1097	-415	-214	-1152	657	-1398	226	-580	-39	97	-245	1658	224	121	-783	-406	-12	-438	598	-49	310	705	680	-59	140	-393	-106	192	115	79	-176	-4	325	1104	350	-758	382	-165	66	-519	266	115	101	-627	-193	175	-150	-17	-457	-47	-493	1225	-411	-16	-3	54	-91	0	105	177	530	-227	-1037	686	-941	-295	200	247	-260	908	-372	-380	-86	-75	577	-71	-111	5	-8	485	-96	54	-100	-122	347	88	-281	-474
"GLUTAMINE,N,N,O-TMS_1   1  M/z347"	2273	378	350	1295	-4304	262	442	-6948	-152	-437	1136	7552	-3086	668	3895	170	1018	1411	-209	1931	-297	648	-792	1135	4476	-5163	-1491	1067	10352	314	231	194	892	-1632	105	-1001	-1450	248	767	1229	1202	314	1345	1010	-665	-885	-477	-619	-562	-58	-27	97	-628	1573	4311	2625	-1506	-2525	553	1336	1373	41	133	-277	1277	855	-49	2068	830	-780	-1253	133	1435	-408	738	978	-687	-1038	2042	2713	56	1389	-297	4263	-2339	-555	2707	613	1294	-1814	-1500	-644	-78	1380	-135	983	1875	4503	-1312	-94	-485	-367
GLYCERIC ACID-3TMS   1  M/z307	-927	1052	-1047	-115	445	16	-671	-378	254	-79	-981	850	-206	-585	-827	-193	-625	189	-103	-207	154	614	47	422	-50	-742	122	833	264	-716	-956	-71	591	213	-436	192	212	749	811	303	-1818	718	-442	-598	-936	-613	359	367	86	-558	-142	-755	686	23	-616	262	998	-37	500	221	-399	-1	216	-212	151	278	439	182	-53	-234	-677	349	-565	-604	566	-379	-443	1084	1336	655	-224	-62	170	-73	4	-364	1155	-56	109	179	420	-58	66	6	-427	320	537	237	431	-21	1059	-413
"GLYCINE,N,N,O-TMS   1  M/z246"	-3514	-1483	-987	-816	924	-1088	187	-305	1608	2202	-3441	-2568	-568	-1818	1287	-1202	-1369	-371	1849	1986	909	-452	2216	1781	3653	-1270	-2926	431	-1444	-2075	687	2508	835	446	-529	1321	294	-1608	960	-620	1559	2958	-87	865	1394	-604	872	686	-1036	-2334	175	-2532	-7022	1882	1152	1548	-683	-817	-1432	558	-842	777	3563	-1038	-158	1170	-492	1538	1532	-44	-685	-1621	1088	1405	-1037	1365	140	843	14	-5033	-114	2641	-673	831	-4820	-428	1168	852	-3274	-2894	337	9	-845	-911	-2689	2085	979	-1616	817	-1017	1585	-493
HEPTADECANOIC ACID-TMS   1  M/z132	1538	1590	-426	-2693	-2368	433	238	-209	-903	470	-376	1344	1042	-640	-552	366	223	854	1520	-462	788	348	2965	4484	-294	-1311	107	867	3371	2725	942	-442	27	397	406	-1396	1123	-571	-518	-261	-258	-254	257	262	-803	-4008	-584	1118	-1742	-840	-333	-847	1715	-1204	389	-1102	2534	-634	-1914	-470	-312	98	-2407	599	-322	-430	2376	-1351	-164	-1370	599	296	-794	-1960	1068	850	1145	284	-2670	-1150	1254	-647	2210	1472	487	-460	-1803	1716	307	520	363	-1100	767	-306	2935	-62	2373	5158	387	-25	-2133	-619
HEXADECANOIC ACID-TMS   1  M/z171	12350	8563	721	-7851	-10245	2627	-648	-1383	-3340	976	-2816	13701	11404	-7702	-1014	-208	2549	8870	9808	-6440	-2164	3083	5548	13677	-2490	-6405	-1140	2473	9476	9015	5571	-1244	-1359	2310	3005	-5415	9770	-5426	-2685	903	243	-3693	1209	1749	-4868	-21945	-2162	5801	-8065	-3363	-4055	-725	10440	346	1822	-6822	9458	-160	-9256	-539	-641	3329	-15769	2992	-774	49	9001	-6884	-5281	-12264	4287	871	-1591	-7429	3188	6703	4755	2967	-18049	-5298	2469	-5440	3827	1215	3265	-2183	-7317	2824	1794	1181	-1197	-5686	6842	-1916	18935	167	18166	11562	1119	1848	-6427	-7095
HYPOXANTHINE-2TMS   1  M/z282	3964	427	-2682	340	-923	-901	-1890	-582	-984	-852	804	3790	-644	-2085	702	1577	-441	341	-248	469	415	-522	-122	162	-163	-482	-311	594	4867	-206	-353	128	-580	-1348	-691	-802	753	139	1710	-1057	332	-63	-1106	419	-365	-172	-335	-991	-562	486	-750	-207	1201	-1289	-362	-954	-603	-155	-36	-768	-341	144	826	516	4449	-913	1955	771	-452	-631	-808	-1293	-862	-350	-510	218	230	146	5905	-591	114	-767	-179	477	-334	2814	478	-4	-822	271	-241	144	194	-1400	15	-253	-435	-289	4888	-186	256	314
INOSINE-4TMS   1  M/z217	36159	-1338	-10071	-3544	-3144	-6053	-2934	-2641	-4094	-3242	3633	63446	-1499	-7960	5970	7905	-1834	1812	-512	2141	-928	-388	413	359	127	-1803	-1305	2550	160251	-902	-1128	-507	-1397	-2111	-1898	-3720	3125	-500	463	-2438	3792	1114	-4583	362	371	-2340	-1147	-4517	-5022	501	-2489	-1710	1826	-9142	-173	-4300	-817	-320	-1254	-2547	499	-1636	265	-1061	85422	-9273	46017	-5485	211	-3352	806	-18667	-802	-1706	-2336	539	-914	-645	21408	1391	1139	-1075	38	-1802	-1400	61866	7114	997	-2286	-704	-636	5702	-340	-10393	1118	-2298	-2168	-853	45066	-320	-3134	987
"INOSITOL, scyllo-6TMS   1  M/z432"	-5323	207	505	-1622	-2411	-2414	2394	3206	670	100	856	-302	3763	2503	1617	-2023	604	324	586	1955	-1003	-650	-322	621	948	-1023	-1399	-60	-2043	1376	-2065	-1093	426	1197	-968	2800	1017	2590	1059	-4125	960	2736	-1009	-425	-2071	-1617	45	-43	116	646	-2123	1709	-272	2235	723	1454	-387	219	-984	2026	-323	687	136	-201	3221	-35	4584	11	2307	-2394	-984	791	-2442	-950	-1380	-2814	-31	-798	1770	3591	844	1376	-545	83	2485	-4421	-85	887	1786	-35	1164	-1546	949	-326	-1312	1478	-2146	-542	47	-782	1550	-1717
ISOCITRIC ACID-4TMS   1  M/z466	286	452	1014	-772	-2289	-55	-393	-2677	-1206	-969	258	5584	-1585	560	-3567	337	-143	419	-2799	-196	-827	152	1234	-2913	-183	1776	-186	-500	-1026	-191	-124	-1837	-366	-1225	1013	-427	1573	-2000	-1048	912	442	-267	-826	1101	-1636	-263	1324	-247	10	3809	-1358	-1548	-1379	365	-2315	1787	644	2461	-622	-655	208	855	322	-994	726	-42	613	-666	149	-1472	-1817	1119	-1489	-2277	764	-830	755	-364	-418	-143	469	294	-977	54	-753	-163	-2150	-242	-590	-1243	853	-388	-45	1163	-906	2876	1586	-2097	737	548	-101	-2224
ISOERYTHRITOL-4TMS   1  M/z277	75	374	-547	436	-281	-347	226	-388	-252	47	188	-528	299	-57	-3	-18	-263	261	160	-518	-62	226	51	40	420	61	258	-139	-56	245	90	-223	-1618	194	108	249	155	187	-315	290	-117	397	87	43	-335	27	-88	-205	-746	378	-258	-67	262	-302	-12	-342	246	-221	-220	608	-585	-221	73	45	134	49	53	126	145	-124	-244	-63	8	60	-37	-9	-1690	-320	-806	-17	-171	196	106	301	-33	-374	-203	31	136	-444	56	224	-198	563	11	-79	-30	-95	-12858	-208	257	20
"ISOLEUCINE, N,O-TMS   1  M/z233"	-385	-364	3079	-809	2594	266	1213	-2852	6276	131	-22	1687	-32	317	-237	1939	-564	4003	1485	-1333	142	-1097	589	5539	11116	1188	-2288	-82	-6367	-6116	1670	-2826	-4298	6273	1886	191	-1964	-770	356	150	-669	4446	5214	3660	2625	8467	5748	4224	-368	1482	-1231	254	-870	-2702	-2358	3366	-1593	499	1754	3083	2799	3274	981	-1034	3847	2648	909	2282	3056	11527	3228	-4375	848	2397	-2847	-695	-5492	-1018	126	-1161	-1484	3619	3708	678	2662	3491	4277	1696	-914	-2809	-2792	4069	-4845	-405	-3483	2910	525	-2218	7256	3113	3665	443
LACTOSE-MEOX 8TMS_1   1  M/z204	-2147	-756	-550	432	-128	785	-136	25	-186	-747	1483	8	-2194	510	-193	435	-468	390	536	31	959	-30	-217	-137	74	-809	-300	-398	484	-1828	-287	-880	600	-207	32	-320	-41	794	255	1074	28	-3245	-98	864	-133	-415	-60	267	-475	315	896	140	-907	102	-331	349	363	-31	1098	696	-366	-546	-416	-2400	-435	661	323	285	-162	-142	-65	250	-254	168	79	-474	-585	-1505	550	514	-488	-263	262	828	244	-699	1636	10	280	-781	-510	775	61	-141	1616	-186	22	600	-146	-186	439	-237
LAMINARIBIOSE-MEOX  8TMS_2   1  M/z361	3	-760	-401	-60	-301	-169	-8	-986	-112	-24	-98	116	-291	-216	360	-200	-111	411	44	-230	-197	-224	47	-84	-331	401	-68	40	-268	-843	-235	-70	-92	-254	285	72	-202	-209	1076	176	72	-428	-216	55	178	65	-109	-415	-194	-227	516	-759	-311	540	-111	-171	-338	-263	-976	-206	-642	214	92	-162	-65	441	-445	-797	-258	640	-500	-311	-54	-152	116	-784	-105	-216	570	-393	-153	-422	183	-237	-783	-87	25	154	-189	-88	381	50	518	-143	-122	-161	-372	102	151	88	17	-400
LAMINARIBIOSE-MEOX 8TMS_1   1  M/z217	-1937	-944	-270	-2566	-260	52	-1075	-1423	-2438	-1944	-276	2153	-41	-585	-1557	-238	-226	328	1075	591	-786	-493	1334	782	942	1759	-1390	-51	-1252	-4625	-762	170	-276	-148	1247	-1087	-532	878	4904	924	543	-1668	-1801	-241	910	-161	285	-226	-9	-466	996	-330	608	402	-530	961	-1856	-287	-913	-1022	1495	-107	1095	-905	-470	926	-1607	-462	-195	398	389	-472	-364	-431	1058	-1431	-1654	860	1761	-617	-990	-595	111	-17	-384	181	-947	30	135	-1166	1065	418	1455	-190	-813	-11	-118	732	1549	-254	-1267	146
