Probes,Index
UBE2E2,0.0
UBE2M,0.009625306122448978
UCK1,0.011306748806748805
UQCRC2,0.0
USF2,0.0
USP14,0.0
USP36,0.0
VAT1,0.0
VPS18,0.0077582417582417575
VPS45,0.006593961593961594
WASH7P,0.0
WDR5,0.0
YWHAB,0.009818706293706294
ZBTB10,0.008265306122448978
ZC2HC1A,0.005941840277777777
ZFYVE19,0.005782928753592369
ZMYND12,0.026743282304249116
ZNF208,0.010979777592655884
ZNF232,0.005803217014869189
ZNF286A,0.008425925925925927
ZNF385D,0.008265306122448978
ZNF434,0.007527272727272728
ZNF484,0.0009340659340659341
ZNF529,0.010539553614087774
ZNF622,0.0012878787878787884
ZNF649,0.0074814814814814804
ZNF692,0.0
ZNF8,0.0
