Probes CAPRIN2 PCNT TSG101 VAV1 ZBTB5 YWHAE TRPM4 PIAS4 CAPRIN2 HERC6 LPXN VAV1 ZMYND15 FOXD2-AS1 NIPBL Class
G128 0.441398816 -0.16820353300000002 -0.368317748 0.234109268 -0.548679715 0.204139457 -1.269528219 0.012065395 0.441398816 3.786122802 -0.14811580800000002 0.234109268 0.437027123 -0.169427288 0.239625531 1
G130 0.219619134 0.31130855 0.742062558 -0.46552334 -0.003555515 1.745500707 -0.6329005520000001 0.615535693 0.219619134 3.748833543 -0.335082412 -0.46552334 0.668628095 -0.059508286 1.272859938 0
G302 1.083894163 -0.233446484 0.215601211 0.142222776 -0.309846293 0.57961359 0.267942879 0.18302572 1.083894163 3.850976748 -0.6089846210000001 0.142222776 0.447887797 -0.497409061 0.315227858 1
G303 -0.851833882 0.8019522579999999 0.189554882 -0.394783097 0.465887861 0.481001306 -0.61839065 0.492451608 -0.851833882 3.41115159 -0.028237487 -0.394783097 0.580828104 0.338028535 0.769662738 0
G304 0.6519832320000001 -1.169912234 0.296730025 0.701016575 0.04913651 0.017929763999999997 0.778567672 0.346808516 0.6519832320000001 4.1270953389999985 -0.6735120170000001 0.701016575 0.939149507 -1.168866745 0.3212528 1
G305 -0.12258457 0.110758037 0.315595842 0.268736077 -0.220019926 -0.216383092 1.034676988 -0.257785466 -0.12258457 2.08251918 -0.448881844 0.268736077 0.37661875 0.10742951 -0.103380414 1
G306 0.216550613 -0.516377603 -0.109229152 -0.766033863 -0.565084335 0.247612206 0.567174004 0.358801747 0.216550613 2.677453893 -0.177584171 -0.766033863 0.108015782 0.215875652 -0.266679478 0
G311 0.079166995 -0.056636985999999986 -0.076955309 0.6787736040000001 -0.588738122 -0.349696775 -0.908813665 0.001813275 0.079166995 2.72485058 -0.477213334 0.6787736040000001 -0.006408595 -0.58100173 -0.522566489 1
G313 0.446417933 -1.354874451 0.850293961 0.177335863 -0.7730364259999999 1.031689559 0.35476783 -0.050137633 0.446417933 3.006409066 -0.67370184 0.177335863 1.689877221 -0.165723784 0.053586031 1
G314 0.938494356 0.853794334 0.125095953 0.021910917 -0.048910899 0.477683621 -0.20946585 -1.173269398 0.938494356 4.513487938 -0.19166432 0.021910917 -0.523503045 -0.570401942 0.548786478 1
G315 0.54472951 -0.75279706 0.234390145 -0.079682055 -0.06297117299999999 0.458756059 0.50883951 0.372921983 0.54472951 4.191983007 0.161987608 -0.079682055 0.325933715 -1.93815344 0.541172697 0
G317 -0.746185157 -0.626083053 0.5112223929999999 1.063886211 -0.665645525 0.575271062 -0.520949236 0.011849556 -0.746185157 5.4059130999999985 -1.290134566 1.063886211 0.5538115579999999 -1.122648653 0.811685408 1
G322 0.440914203 -1.019143059 0.6185669220000001 0.88572007 -0.327696763 -0.228218872 -0.056234676 -0.306989099 0.440914203 4.342949865 -0.911006674 0.88572007 0.7738274620000001 -1.452907262 -0.045530283 1
G324 -1.137771872 0.415968357 1.139448982 -0.08651159800000001 -0.755786275 0.447333716 0.262041566 0.432851725 -1.137771872 3.770518567 -1.4451626780000002 -0.08651159800000001 1.225383706 -0.297556688 1.073687545 0
G332 0.877834862 -0.256119873 0.491879398 0.606050915 0.301555375 1.568841147 -0.868702799 0.142114463 0.877834862 4.384736179 -0.657746333 0.606050915 0.07146267 -0.379314179 1.253411428 0
G336 -0.268373555 -2.265878094 1.249456696 0.925958514 -1.737206059 0.076529943 0.556329979 -0.628671694 -0.268373555 4.153272639 -2.13325304 0.925958514 2.707715015 0.758446277 -0.03694356 0
G337 1.440265714 -1.106053771 0.512659072 0.601182166 -0.774183682 0.498070985 0.8934960359999999 -0.015061151000000004 1.440265714 4.1300472410000015 -0.205470133 0.601182166 -0.087083819 -0.535212526 0.457111815 1
G347 0.363026478 -0.7423028740000001 0.884959565 -1.075388172 -1.975480191 0.826297095 0.321076402 0.722864187 0.363026478 2.957702735 -0.500715712 -1.075388172 1.071554504 0.136881294 0.460455764 1
G358 0.190885088 -0.497823488 0.42142613 0.562829875 0.387432502 0.038029496 0.461831473 -0.080084301 0.190885088 3.332492594 -0.434350653 0.562829875 1.782444228 -1.635166354 0.475759631 0
